,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1,Unnamed: 0.1.1,Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,Unnamed: 8,ipo
101,101,524,524,524,BURL,Burlington Stores Inc,82.71,5840000000.0,2013.0,Consumer Services,Department/Specialty Retail Stores,http://www.nasdaq.com/symbol/burl,,0
102,102,887,887,887,DKS,Dick's Sporting Goods Inc,51.64,5820000000.0,2002.0,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/dks,,0
103,103,919,919,919,DEI,Douglas Emmett Inc,38.44,5820000000.0,2006.0,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/dei,,0
104,104,2660,2660,2660,SUI,Sun Communities Inc,79.02,5770000000.0,1993.0,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/sui,,0
105,105,2551,2551,2551,SIG,Signet Jewelers,80.91,5630000000.0,,Consumer Services,Consumer Specialties,http://www.nasdaq.com/symbol/sig,,0
106,106,2560,2560,2560,SIX,Six Flags Entertainment Corp,60.89,5610000000.0,,Consumer Services,Services-Misc. Amusement & Recreation,http://www.nasdaq.com/symbol/six,,0
107,107,1735,1735,1735,LYV,Live Nation Entertainment,27.53,5600000000.0,,Consumer Services,Services-Misc. Amusement & Recreation,http://www.nasdaq.com/symbol/lyv,,0
108,108,857,857,857,DDR,DDR Corp,15.19,5560000000.0,1993.0,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/ddr,,0
109,109,1506,1506,1506,IGT,International Game Technology,27.54,5540000000.0,2015.0,Consumer Services,Services-Misc. Amusement & Recreation,http://www.nasdaq.com/symbol/igt,,0
110,110,2539,2539,2539,SCI,Service Corporation International,28.85,5500000000.0,,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/sci,,0
111,111,39,39,39,ACM,AECOM,35.31,5440000000.0,2007.0,Consumer Services,Military/Government/Technical,http://www.nasdaq.com/symbol/acm,,0
